Horas de Irrigação,Área Irrigada,Área Irrigada por Ângulo
1,100,66.66666666666667
2,200,133.33333333333334
3,300,200.0
4,400,266.6666666666667
5,500,333.3333333333333
6,600,400.0
7,700,466.6666666666667
8,800,533.3333333333334
9,900,600.0
10,1000,666.6666666666666
11,1100,733.3333333333334
12,1200,800.0
13,1300,866.6666666666666
14,1400,933.3333333333334
15,1500,1000.0
16,1600,1066.6666666666667
17,1700,1133.3333333333333
18,1800,1200.0
19,1900,1266.6666666666667
20,2000,1333.3333333333333
21,2100,1400.0
22,2200,1466.6666666666667
23,2300,1533.3333333333333
24,2400,1600.0
25,2500,1666.6666666666667
26,2600,1733.3333333333333
27,2700,1800.0
28,2800,1866.6666666666667
29,2900,1933.3333333333333
30,3000,2000.0
31,3100,2066.6666666666665
32,3200,2133.3333333333335
33,3300,2200.0
34,3400,2266.6666666666665
35,3500,2333.3333333333335
36,3600,2400.0
37,3700,2466.6666666666665
38,3800,2533.3333333333335
39,3900,2600.0
40,4000,2666.6666666666665
41,4100,2733.3333333333335
42,4200,2800.0
43,4300,2866.6666666666665
44,4400,2933.3333333333335
45,4500,3000.0
46,4600,3066.6666666666665
47,4700,3133.3333333333335
48,4800,3200.0
49,4900,3266.6666666666665
50,5000,3333.3333333333335
51,5100,3400.0
52,5200,3466.6666666666665
53,5300,3533.3333333333335
54,5400,3600.0
55,5500,3666.6666666666665
56,5600,3733.3333333333335
57,5700,3800.0
58,5800,3866.6666666666665
59,5900,3933.3333333333335
60,6000,4000.0
61,6100,4066.6666666666665
62,6200,4133.333333333333
63,6300,4200.0
64,6400,4266.666666666667
65,6500,4333.333333333333
66,6600,4400.0
67,6700,4466.666666666667
68,6800,4533.333333333333
69,6900,4600.0
70,7000,4666.666666666667
71,7100,4733.333333333333
72,7200,4800.0
73,7300,4866.666666666667
74,7400,4933.333333333333
75,7500,5000.0
76,7600,5066.666666666667
77,7700,5133.333333333333
78,7800,5200.0
79,7900,5266.666666666667
80,8000,5333.333333333333
81,8100,5400.0
82,8200,5466.666666666667
83,8300,5533.333333333333
84,8400,5600.0
85,8500,5666.666666666667
86,8600,5733.333333333333
87,8700,5800.0
88,8800,5866.666666666667
89,8900,5933.333333333333
90,9000,6000.0
91,9100,6066.666666666667
92,9200,6133.333333333333
93,9300,6200.0
94,9400,6266.666666666667
95,9500,6333.333333333333
96,9600,6400.0
97,9700,6466.666666666667
98,9800,6533.333333333333
99,9900,6600.0
100,10000,6666.666666666667
101,10100,6733.333333333333
102,10200,6800.0
103,10300,6866.666666666667
104,10400,6933.333333333333
105,10500,7000.0
106,10600,7066.666666666667
107,10700,7133.333333333333
108,10800,7200.0
109,10900,7266.666666666667
110,11000,7333.333333333333
111,11100,7400.0
112,11200,7466.666666666667
113,11300,7533.333333333333
114,11400,7600.0
115,11500,7666.666666666667
116,11600,7733.333333333333
117,11700,7800.0
118,11800,7866.666666666667
119,11900,7933.333333333333
120,12000,8000.0
121,12100,8066.666666666667
