tempo_na_empresa,nivel_na_empresa,salario_em_reais
50,1,2288.13
49,4,2389.84
39,10,2158.73
51,1,2341.06
62,7,3584.2
105,10,12102.18
80,3,5723.35
85,2,6424.92
66,5,3916.18
73,5,4751.79
83,1,6104.6
80,4,5677.44
34,8,1821.19
91,4,7906.9
90,10,7939.09
93,6,8451.01
105,1,11769.36
26,3,1264.48
34,3,1576.47
75,5,5003.07
96,2,8966.92
32,7,1652.36
53,5,2733.68
31,4,1367.48
22,1,1056.11
60,10,3423.78
106,7,12408.94
5,8,1020.19
6,8,1011.51
107,2,12523.65
52,2,2380.31
73,6,4679.09
79,2,5406.48
105,8,12076.76
49,9,2679.76
68,4,4010.92
16,6,1026.46
102,10,11151.98
94,1,8365.59
110,3,13681.12
61,1,3075.78
13,8,1168.04
91,5,7915.92
98,2,9535.2
107,1,12447.56
27,8,1534.17
83,9,6487.1
26,7,1435.4
14,9,1240.43
82,6,6073.16
69,7,4336.89
26,10,1587.21
99,1,9791.83
67,5,4009.19
120,3,18427.06
41,4,1909.16
47,3,2294.04
63,10,3814.17
26,1,1180.15
18,9,1324.29
102,6,10998.7
46,3,2081.24
112,1,14453.94
43,2,1854.14
93,8,8575.78
26,8,1482.3
13,5,1017.13
56,7,3104.53
63,5,3560.66
46,9,2431.39
37,3,1725.42
89,5,7497.3
62,10,3706.57
111,6,14239.95
95,5,8812.59
92,1,7909.08
118,10,17793.9
29,3,1355.29
79,1,5335.71
88,2,7007.7
115,5,16030.49
48,7,2514.99
55,3,2829.91
33,2,1443.03
88,8,7458.58
41,2,1737.25
55,9,3092.88
97,9,9541.14
83,2,6140.57
1,10,951.65
90,6,7656.5
18,8,1261.94
27,6,1328.56
105,8,12070.76
109,9,13440.12
92,1,7962.88
8,9,1070.36
64,8,3802.57
3,9,990.03
48,4,2210.62
6,9,1014.57
14,7,1085.37
47,1,2073.33
60,6,3238.54
113,7,15167.19
52,8,2762.19
67,7,4049.6
53,3,2574.37
20,6,1265.99
20,9,1351.43
95,9,9049.37
18,10,1372.62
71,4,4350.15
99,9,10208.12
80,8,6007.52
95,4,8831.24
19,10,1347.93
31,5,1546.15
23,10,1456.74
31,3,1323.97
97,1,9256.25
20,4,1098.27
54,8,2911.56
28,10,1574.93
45,9,2342.98
63,7,3592.45
83,10,6594.83
9,7,947.92
96,1,8918.37
80,2,5628.15
96,6,9096.92
78,9,5632.26
28,4,1422.81
92,4,8095.56
50,9,2773.46
49,1,2240.9
93,5,8459.68
27,4,1334.97
54,6,2883.96
105,8,12171.42
83,6,6316.55
77,2,5171.79
41,5,1979.19
103,8,11364.1
66,8,3879.9
62,8,3574.08
21,8,1400.52
38,8,1957.23
36,2,1567.93
69,5,4219.83
40,10,2148.77
64,5,3681.29
97,9,9689.25
62,2,3315.78
110,5,13886.57
105,7,12007.25
6,2,754.16
71,6,4493.9
52,3,2517.76
58,7,3203.41
111,4,14123.18
70,4,4304.95
