atividade_economica,faturamento_mensal,numero_de_funcionarios,localizacao,idade,inovacao,segmento_de_cliente
Comércio,713109.95,12,Rio de Janeiro,6,1,Bronze
Comércio,790714.38,9,São Paulo,15,0,Bronze
Comércio,1197239.33,17,São Paulo,4,9,Silver
Indústria,449185.78,15,São Paulo,6,0,Starter
Agronegócio,1006373.16,15,São Paulo,15,8,Silver
Serviços,1629562.41,16,Rio de Janeiro,11,4,Silver
Serviços,771179.95,13,Vitória,0,1,Starter
Serviços,707837.61,16,São Paulo,10,6,Silver
Comércio,888983.66,17,Belo Horizonte,10,1,Bronze
Indústria,1098512.64,13,Rio de Janeiro,9,3,Bronze
Comércio,695548.78,11,Rio de Janeiro,10,4,Bronze
Agronegócio,556632.55,14,Rio de Janeiro,9,4,Silver
Serviços,800123.32,15,Rio de Janeiro,11,6,Silver
Serviços,1544423.2,15,Vitória,9,3,Silver
Comércio,1058543.63,12,Belo Horizonte,8,8,Silver
Comércio,783081.11,10,Belo Horizonte,8,7,Bronze
Serviços,566156.05,15,Vitória,8,8,Silver
Agronegócio,1047680.24,14,Rio de Janeiro,12,0,Bronze
Indústria,836793.37,12,Rio de Janeiro,10,7,Bronze
Agronegócio,1072955.49,14,São Paulo,12,5,Silver
Comércio,1125089.99,16,Rio de Janeiro,6,2,Silver
Serviços,1424196.41,17,Vitória,16,2,Silver
Serviços,1376884.23,17,Rio de Janeiro,9,4,Silver
Comércio,1240936.73,19,São Paulo,13,5,Gold
Indústria,947515.95,18,Vitória,15,2,Silver
Comércio,1237763.98,18,São Paulo,7,1,Bronze
Comércio,1181642.63,10,São Paulo,7,7,Silver
Comércio,782097.18,11,Vitória,9,6,Silver
Agronegócio,111926.48,13,Rio de Janeiro,4,2,Starter
Indústria,489936.94,13,Belo Horizonte,12,1,Bronze
Indústria,1164187.89,13,São Paulo,3,2,Bronze
Indústria,1418374.5,16,Vitória,7,9,Gold
Serviços,1325421.71,14,Vitória,12,5,Silver
Serviços,445704.4,13,Belo Horizonte,7,6,Silver
Agronegócio,958656.71,4,Vitória,5,5,Bronze
Serviços,1207754.02,12,Rio de Janeiro,12,3,Silver
Agronegócio,1258551.12,15,Vitória,12,5,Silver
Serviços,1051870.82,16,São Paulo,9,6,Silver
Agronegócio,1116791.99,17,Belo Horizonte,11,8,Silver
Indústria,944040.44,10,Belo Horizonte,7,7,Silver
Comércio,878314.15,9,Rio de Janeiro,6,6,Bronze
Serviços,645734.68,15,São Paulo,9,3,Silver
Serviços,1197770.02,17,São Paulo,7,3,Silver
Comércio,619332.74,17,Rio de Janeiro,6,4,Silver
Comércio,973809.28,17,Rio de Janeiro,14,1,Bronze
Indústria,1055849.89,16,Belo Horizonte,13,9,Silver
Comércio,743078.06,12,São Paulo,12,3,Bronze
Indústria,853682.38,11,São Paulo,8,0,Bronze
Agronegócio,1188462.86,17,Rio de Janeiro,9,8,Silver
